Pilota,PosizionePartenzaMedia,PosizioneArrivoMedia,GainLoss,Affidabilita,PuntiGP,Incidenti,PolePosition,Podi,Vittorie,Top10,FuoriPunti,GiriVeloci,Velocita,Scuderia,PuntiScuderia,Esordio
Sergio Perez,10.41,9.52,0.8900000000000006,0.07,4,0.04,0,0.05,0,0.69,0.29,0.02,195.73481000000004,Aston Martin,3.81,NO
Daniel Ricciardo,6.67,7.35,-0.6799999999999997,0.16,9.56,0.02,0.03,0.22,0.07,0.76,0.23,0.13,196.66940000000005,Red Bull,9.235,NO
Valtteri Bottas,5.61,6.51,-0.8999999999999995,0.08,9.59,0.02,0.06,0.27,0.03,0.83,0.16,0.1,199.88285,Williams,4.025,NO
Kevin Magnussen,12.731707317073171,12.390243902439025,0.34146341463414664,0.17073170731707318,1.670731707317073,0.036585365853658534,0,0.012195121951219513,0,0.36585365853658536,0.6219512195121951,0.012195121951219513,193.5508658536585,McLaren,1.88,NO
Daniil Kvyat,11.432432432432432,12.594594594594595,-1.1621621621621632,0.17567567567567569,1.7972972972972974,0.05405405405405406,0,0.02702702702702703,0,0.36486486486486486,0.581081081081081,0.013513513513513514,188.97095945945946,Red Bull,9.235,NO
Marcus Ericsson,16.876288659793815,14.958762886597938,1.9175257731958766,0.35051546391752575,0.18556701030927836,0.10309278350515463,0,0,0,0.1134020618556701,0.8556701030927835,0,194.96967010309282,Alfa Romeo,0.455,NO
Will Stevens,16.789473684210527,16.63157894736842,0.1578947368421062,0.5263157894736842,0,0,0,0,0,0,1,0,159.52984210526316,Marussia,0.027522935779816515,NO
Esordiente,14.775,15.5,-0.7249999999999996,0.358974358974359,3,0.16666666666666666,0.05063291139240506,0.13333333333333333,0.05,0.6206896551724138,0.975,0.03333333333333333,195.53112499999995,AlphaTauri,0,SI
Esordiente,7.308641975308642,8.283950617283951,-0.9753086419753094,0.14814814814814814,8.271604938271604,0.09876543209876543,0,0.20987654320987653,0.06172839506172839,0.7037037037037037,0.2962962962962963,0.04938271604938271,193.06762962962972,AlphaTauri,1.23,NO
Esordiente,15.9,14.15,1.75,0.2,0.725,0.025,0,0,0,0.175,0.775,0,185.26274999999998,Alfa Romeo,0.455,NO
Esordiente,11.246913580246913,11.777777777777779,-0.5308641975308657,0.19753086419753085,2.111111111111111,0.08641975308641975,0,0,0,0.49382716049382713,0.49382716049382713,0,188.46627160493827,AlphaTauri,1.23,NO
Esordiente,18.23076923076923,15.692307692307692,2.5384615384615383,0.38461538461538464,0,0,0,0,0,0,1,0,191.604,Marussia,0.027522935779816515,NO
Esordiente,17.8,15.4,2.4000000000000004,0.6,0,0,0,0,0,0,1,0,185.44400000000002,Marussia,0.027522935779816515,NO
Esteban Gutiérrez,14.775,15.5,-0.7249999999999996,0.25,0,0.1,0,0,0,0,0.975,0,195.53112499999995,Haas F1 Team,1.3629032258064515,NO
Esordiente,16.324324324324323,15.27027027027027,1.0540540540540526,0.24324324324324326,0.24324324324324326,0.10810810810810811,0,0,0,0.05405405405405406,0.8108108108108109,0,181.59591891891893,Alpine F1 Team,1.5080645161290323,NO
Esordiente,17.384615384615383,16.128205128205128,1.2564102564102555,0.358974358974359,0.15384615384615385,0.15384615384615385,0,0,0,0.07692307692307693,0.8205128205128205,0,180.66282051282056,Marussia,0.027522935779816515,NO
Esordiente,19.833333333333332,18.666666666666668,1.1666666666666643,0.4166666666666667,0,0.16666666666666666,0,0,0,0,0.75,0,178.35308333333333,Marussia,0.027522935779816515,NO
Esordiente,11.76,11.4,0.35999999999999943,0.14,2.72,0.08,0,0,0,0.56,0.4,0,184.29319999999998,Marussia,0.027522935779816515,NO
Esordiente,14.115384615384615,13,1.115384615384615,0.15384615384615385,1.1153846153846154,0.07692307692307693,0,0,0,0.19230769230769232,0.8076923076923077,0,189.28623076923077,AlphaTauri,1.23,NO
Stoffel Vandoorne,15.19047619047619,13.19047619047619,2,0.21428571428571427,0.6190476190476191,0.09523809523809523,0,0,0,0.19047619047619047,0.8095238095238095,0,195.5731904761905,McLaren,1.88,NO
Esordiente,15.292682926829269,13.365853658536585,1.9268292682926838,0.34146341463414637,1.1219512195121952,0.0975609756097561,0,0.024390243902439025,0,0.21951219512195122,0.7804878048780488,0,196.02868292682925,Williams,4.025,NO
Esordiente,15.28,15.04,0.2400000000000002,0.32,0.16,0.12,0,0,0,0.12,0.88,0,186.79355999999999,AlphaTauri,1.23,NO
Esordiente,12.428571428571429,12.380952380952381,0.04761904761904745,0.23809523809523808,1.8571428571428572,0.14285714285714285,0,0,0,0.47619047619047616,0.5238095238095238,0,186.7852380952381,Alfa Romeo,0.455,NO
Esordiente,16.285714285714285,15.523809523809524,0.761904761904761,0.42857142857142855,0.047619047619047616,0.047619047619047616,0,0,0,0.047619047619047616,0.9523809523809523,0,195.8941428571429,Williams,4.025,NO
Esordiente,3.26,3.15,0.10999999999999988,0.06,8.47,0.061855670103092786,0.06,0.20987654320987653,0.06172839506172839,0.77,0.06,0.04938271604938271,202.00926000000004,Williams,0,SI
Antonio Giovinazzi,17,15.5,1.5,0.5,0,0.5,0,0,0,0,1,0,107.189,Alfa Romeo,0.455,NO
Esordiente,6.67,7.35,-0.6799999999999997,0.16,9.59,0.02,0.02,0.36,0.13,0.83,0.23,0.14,196.66940000000005,McLaren,0,SI
Esordiente,6.67,7.35,-0.6799999999999997,0.16,9.59,0.02,0.02,0.01,0.13,0.83,0.23,0.14,196.66940000000005,Williams,0,SI
Esordiente,5.61,6.51,-0.8999999999999995,0.08,1.670731707317073,0.02,0.01282051282051282,0.01,0.07,0.36585365853658536,0.16,0.011756756756756758,199.88285,AlphaTauri,0,SI
