Pilota,PosizionePartenzaMedia,PosizioneArrivoMedia,GainLoss,Affidabilita,PuntiGP,Incidenti,PolePosition,Podi,Vittorie,Top10,FuoriPunti,GiriVeloci,Velocita,Scuderia,PuntiScuderia,Esordio
Lewis Hamilton,3.26,3.15,0.10999999999999988,0.06,19.16,0.01,0.52,0.29,0.51,0.93,0.06,0.28,202.00926000000004,Mercedes,17.46,NO
Nico Rosberg,1.847457627118644,3.76271186440678,-1.9152542372881358,0.05084745762711865,17.35593220338983,0.01694915254237288,0.4406779661016949,0.4406779661016949,0.3389830508474576,0.8983050847457628,0.06779661016949153,0.2711864406779661,196.50955932203382,Mercedes,17.46,NO
Fernando Alonso,11.97938144329897,11.989690721649485,-0.010309278350515427,0.28865979381443296,3.020618556701031,0.061855670103092786,0,0.020618556701030927,0,0.4329896907216495,0.5360824742268041,0.020618556701030927,187.80407216494837,McLaren,1.88,NO
Kimi Raikkonen,5.86,7.58,-1.7199999999999998,0.11,8.47,0.07,0.02,0.25,0.01,0.77,0.21,0.07,192.11314999999996,Ferrari,10.675,NO
Felipe Massa,8.782051282051283,10.064102564102564,-1.282051282051281,0.11538461538461539,4.5,0.07692307692307693,0.01282051282051282,0.0641025641025641,0,0.6410256410256411,0.32051282051282054,0.01282051282051282,191.32344871794874,Williams,4.025,NO
Jenson Button,12.616666666666667,12.133333333333333,0.4833333333333343,0.21666666666666667,2.716666666666667,0.05,0,0.016666666666666666,0,0.4,0.55,0,183.8156166666667,McLaren,1.88,NO
Sebastian Vettel,4.99,5.35,-0.35999999999999943,0.07,12.94,0.05,0.1,0.36,0.13,0.88,0.08,0.14,194.6097099999999,Ferrari,10.675,NO
Romain Grosjean,12.51,12.92,-0.41000000000000014,0.17,1.53,0.09,0,0.01,0,0.32,0.62,0,182.63614,Lotus F1,0.8,NO
Nico Hülkenberg,10.02,11.29,-1.2699999999999996,0.16,3.38,0.12,0,0,0,0.57,0.4,0.01,184.08492999999996,Aston Martin,3.81,NO
Pastor Maldonado,14.763157894736842,14.736842105263158,0.02631578947368496,0.23684210526315788,0.7631578947368421,0.13157894736842105,0,0,0,0.18421052631578946,0.7368421052631579,0,157.28176315789472,Lotus F1,0.8,NO
